#	ID	Mask	Filter	Min_Wave	Max_Wave	Redshift	Redshift_Error	H-alpha_Flux	H-alpha_Lum	H-alpha_Lum_Err	Redshift_Weights	H-alpha_Lum_Weights
0	10013	A1689_1	rest_UV	958.7346	1715.8005	2.23372085909	2.56608025122e-05	6.24586584931e-17	2.363664384910233e+42	9.321509238374099e+40	1518656423.2999783	1.1508733442278317e-82
1	1059	A1689_1	rest_UV	909.145028937525	1626.437845012468	2.41140582072	2.12767949147e-05	8.16069438348e-17	3.720678506904669e+42	3.4260162955974854e+41	2208958643.7229085	8.519638184291038e-84
2	1337	A1689_1	rest_UV	852.117929207577	1524.8147275005006	2.63977484447	2.8337617512e-05	1.53246421583e-16	8.701281620197358e+42	4.667361974320038e+41	1245298118.156409	4.59046872363008e-84
3	1488	A1689_1	rest_UV	1016.4871297900277	1818.787931883047	2.0511664029	1.55649101738e-05	9.62829298707e-19	2.9589067419739904e+40	3.3322861180056695e+41	4127687048.0560784	9.005657628769766e-84
4	1689	A1689_1	rest_UV	913.6221075282297	1635.1316388691553	2.39329637306	1.24774757815e-05	3.71891351205e-17	1.6647724870958022e+42	9.065246940916297e+40	6423127291.85462	1.2168602988955303e-82
5	2223	A1689_1	rest_UV	873.0334035168875	1562.082550954558	2.55159156975	1.53259444739e-05	7.37370322834e-17	3.856016952144238e+42	1.7341060466737516e+41	4257410279.856621	3.325436772112923e-83
6	363	A1689_1	rest_UV	1172.7495	2098.8125	1.6435995547	1.74559447001e-05	2.22870938223e-16	3.9761714057606693e+42	1.2931846559741982e+41	3281808875.215803	5.979693363959134e-83
7	454	A1689_1	rest_UV	1192.787307070831	2114.443862174292	1.6006070351	1.1601730074e-05	3.05933951334e-17	5.113012208508242e+41	2.187153373377708e+40	7429412738.541308	2.0904583650984737e-81
8	523	A1689_1	rest_UV	875.6145213291187	1566.7748538179285	2.54198213391	3.3333259992e-05	1.85482725328e-16	9.611351106716825e+42	5.1036675927906194e+41	900003960.4450707	3.839151396771212e-84
9	537	A1689_1	rest_UV	875.5916519215117	1566.8431937516257	2.54198213391	3.3333259992e-05	1.85482725328e-16	9.611351106716825e+42	5.1036675927906194e+41	900003960.4450707	3.839151396771212e-84
10	680	A1689_1	rest_UV	847.0956597152593	1515.4804853719215	2.66086723374	4.76136694848e-05	1.90971166645e-16	1.1054124149072551e+43	2.0864939567532888e+42	441099630.6807727	2.2970250831666704e-85
11	991	A1689_1	rest_UV	909.6249594148017	1627.8430974036285	2.40836480461	3.25224854207e-05	2.83707952807e-18	1.2895401250652665e+41	5.310688776715585e+40	945436891.3482338	3.5456698770735484e-82
