#	ID	Mask	Filter	Min_Wave	Max_Wave	Redshift	Redshift_Error	H-alpha_Flux	H-alpha_Lum	H-alpha_Lum_Err	Redshift_Weights
0	10012	A1689_1	rest_UV	923.8851021677415	1653.0446241171053	2.35693113936	6.27671226236e-05	3.5765248967e-17	1.5425244076982554e+42	3.701496671250545e+41	253825680.81203663
1	10013	A1689_1	rest_UV	958.7346	1715.8005	2.23372085909	2.56608025122e-05	6.24586584931e-17	2.363664384910233e+42	9.321509238374099e+40	1518656423.2999783
2	10030	A1689_1	rest_UV	1006.0699121228052	1800.2456562086813	2.08180780462	6.09956713523e-05	2.86001135587e-17	9.113704544134206e+41	1.039284631858827e+41	268783106.1498028
3	1014	A1689_1	rest_UV	1006.2124383275689	1800.885988631312	2.08180780462	6.09956713523e-05	2.86001135587e-17	9.113704544134206e+41	1.039284631858827e+41	268783106.1498028
4	1034	A1689_1	rest_UV	901.4430760998162	1613.0632480036793	2.44001845077	5.09589020329e-06	4.66063792026e-17	2.1866787042824302e+42	8.049684413119788e+40	38508790281.66049
5	1037	A1689_1	rest_UV	1147.9505603891705	2054.104431168952	1.70088989908	7.44725794676e-06	4.88805345359e-17	9.488151166182032e+41	2.7835753003742175e+40	18030476614.22536
6	1059	A1689_1	rest_UV	909.145028937525	1626.437845012468	2.41140582072	2.12767949147e-05	8.16069438348e-17	3.720678506904669e+42	3.4260162955974854e+41	2208958643.7229085
7	1197	A1689_1	rest_UV	1147.1412	2052.9827	1.70261414939	5.87661624023e-06	1.56907550404e-16	3.0533198942533256e+42	4.1723705636049565e+40	28956451390.48089
8	1212	A1689_1	rest_UV	935.09406	1673.4922	2.31547394384	1.59977407942e-05	4.29222531057e-17	1.7729694596692263e+42	1.2384304450223232e+41	3907353361.519101
9	1337	A1689_1	rest_UV	852.0467571690953	1524.6752705340086	2.63977484447	2.8337617512e-05	1.53246421583e-16	8.701281620197358e+42	4.667361974320038e+41	1245298118.156409
10	1451	A1689_1	rest_UV	875.4267188814106	1566.3025329721136	2.54200569582	2.71328261599e-05	3.46767083489e-17	1.7969194061536005e+42	3.036920451011856e+41	1358344521.179433
11	1467	A1689_1	rest_UV	881.1700704535282	1577.017295908661	2.51902777699	2.02697970828e-05	4.89006576244e-17	2.4788091922492438e+42	4.779295658349533e+41	2433891409.5607986
12	1488	A1689_1	rest_UV	1016.4871297900277	1818.787931883047	2.0511664029	1.55649101738e-05	9.62829298707e-19	2.9589067419739904e+40	3.3322861180056695e+41	4127687048.0560784
13	1637	A1689_1	rest_UV	1000.2947335754096	1789.883207403882	2.09972442757	5.53165879902e-06	6.23307715085e-17	2.028267280052176e+42	7.011174116336764e+41	32680540550.272427
14	1689	A1689_1	rest_UV	913.6221075282297	1635.1316388691553	2.39329637306	1.24774757815e-05	3.71891351205e-17	1.6647724870958022e+42	9.065246940916297e+40	6423127291.85462
15	1721	A1689_1	rest_UV	1002.6748	1794.4381	2.09200953229	1.14489603385e-05	4.35069607345e-17	1.403055411903963e+42	1.0491746487488737e+41	7629004977.014131
16	1751	A1689_1	rest_UV	916.7297471675283	1640.868790573903	2.38158935294	7.32764276791e-06	5.56565561505e-17	2.4619447233804674e+42	1.1621798369387201e+41	18623933939.059795
17	2067	A1689_1	rest_UV	936.7994	1676.5441	2.3094387615	1.07491304877e-05	4.5205068152e-17	1.8554398864614965e+42	1.840715752409781e+41	8654726138.318518
18	213	A1689_1	rest_UV	880.62616	1576.0137	2.52054046439	9.5321139664e-05	3.45811269561e-17	1.7554960030489967e+42	4.011584469919697e+41	110057982.57853736
19	2223	A1689_1	rest_UV	873.0334035168875	1562.082550954558	2.55159156975	1.53259444739e-05	7.37370322834e-17	3.856016952144238e+42	1.7341060466737516e+41	4257410279.856621
20	2331	A1689_1	rest_UV	1002.7017	1794.4863	2.09192666914	8.39844341756e-06	8.43964742964e-17	2.7214373499079195e+42	1.0979408043104483e+41	14177589539.521824
21	2395	A1689_1	rest_UV	1006.0432	1800.4664	2.08165695935	3.4346121784e-05	5.15161765878e-17	1.6413223704744815e+42	1.831993613451379e+41	847704695.9674215
22	257	A1689_1	rest_UV	1146.7435	2052.271	1.70355133038	4.36855770088e-06	8.70678430475e-17	1.6965799122965404e+42	2.5420067828914567e+40	52399102370.77888
23	2614	A1689_1	rest_UV	862.7074	1543.9453	2.59366335846	4.07584070604e-05	1.10555865229e-16	6.01512330711547e+42	5.436380606589571e+41	601957174.8686322
24	2698	A1689_1	rest_UV	946.7082603246763	1694.4672200560371	2.27480285485	6.77576215398e-05	9.34749125878e-18	3.69806386458789e+41	4.730894483663094e+40	217812948.7027507
25	280	A1689_1	rest_UV	1146.9086	2052.5662	1.7031624147	4.54923693817e-06	1.02056340016e-16	1.987524655216201e+42	3.113088209665893e+40	48319550594.763
26	2821	A1689_1	rest_UV	966.7486	1730.1428	2.20691449359	1.25087277231e-05	2.27608603358e-17	8.363680113499044e+41	5.920579467711116e+40	6391072162.996029
27	2889	A1689_1	rest_UV	915.4055319979825	1637.9986920096371	2.38781977445	5.35328359867e-05	9.73634280607e-18	4.3342724757585956e+41	7.786217791377782e+40	348947022.673245
28	345	A1689_1	rest_UV	1043.0737	1866.7382	1.97225400567	3.82128533782e-05	2.38439846133e-17	6.656733086247407e+41	5.485367677377352e+40	684827298.9758352
29	363	A1689_1	rest_UV	1172.7495	2098.8125	1.6435995547	1.74559447001e-05	2.22870938223e-16	3.9761714057606693e+42	1.2931846559741982e+41	3281808875.215803
