Names	Cluster	RA	DEC.	EW	EW_uperr	EW_lowerr	F_Lya	F_Lya_uperr	F_Lya_lowerr	Slit_corr_LRIS	Slit_corr_MOSFIRE	Beta	Beta_uperr	Beta_lowerr	Z_Lya	Z_Lya_uperr	Z_Lya_lowerr	Flux_upp_5_sig	Spec_z	Spec_z_err	F625W/F606W	EF625W/EF606W	F475W/F435W	EF475W/EF435W	HBeta	HBeta_Err	Halpha	HAlpha_err	OIII5007	OIII5007err	Magn	Beta_Power	Beta_err_Power	Beta_SED	Beta_err_SED	Metal_Calzetti	LAge_Calzetti	Age_err_Calzetti	AV_Calzetti	AV_err_Calzetti	LMass_Calzetti	Mass_err_Calzetti	LSFR_Calzetti	SFR_err_Calzetti	LSSFR_Calzetti	SSFR_err_Calzetti	Metal_SMC	LAge_SMC	Age_err_SMC	AV_SMC	AV_err_SMC	LMass_SMC	Mass_err_SMC	LSFR_SMC	SFR_err_SMC	LSSFR_SMC	SSFR_err_SMC	Rest_EW	Observed_Intrinsic_Lya	f_esc_obs	f_esc_obs_err	f_esc_upp_lim	Halpha_corr	Halpha_corr_err	Intrinsic_Lya_corr	f_esc_corr	f_esc_corr_err	f_esc_upp_corr
537	A1689	197.87414535	-1.35165796	-86.699093	1.428382	1.292346	-1	-1	-1	1.54	1.7699	-1.72923	0.29036	-0.28462	2.5405E+00	6.67E-04	-6.67E-04	2.6929E-18	2.5405E+00	5.7965E-05	4.8491E-30	1.9308E-31	3.9471E-30	1.5441E-31	-7.1638E-19	6.0376E-18	4.9880E-17	1.1477E-17	3.6912E-17	3.0259E-18	2.46	-1.76	0.2721925581	-1.8715781	0.046995	0.008	8.6	920915000	0.5	0.0867832	8.69	86215400	0.29	0.577682	-8.4	0.577682	0.004	8.7	812142000	0.15	0.011893	8.57	98104300	0.04	0.104842	-8.52	0.104842	-2.4488E+01	4.3396E-16	-1.0000E+00	-1.0261E+00	6.2055E-03	7.4813E-17	2.8462E-17	6.5087E-16	-1.0000E+00	-1.5863E+00	4.1374E-03
539	A1689	197.874007541667	-1.35206081944444	-7.248257	23.469649	19.235678	1.601826611E-17	2.25437079E-18	1.979925828E-18	1.16		0.08961	1.77023	-1.6555	3.046231675	2.60514778E-04	4.67511742E-04	-1.0000E+00	3.0419E+00	2.9112E-05	5.0385E-30	1.6825E-31	2.2274E-30	8.8947E-32	-9.9000E+01	-1.7686E+02	-9.9000E+01	-99	9.84377468092E-17	3.56996023465962E-18	2.390000104904180	-2.0800E+00	2.3114E-01	-1.7815E+00	8.6311E-02	4.0000E-03	7.2000E+00	1.8733E+07	9.0000E-01	6.1254E-02	8.1400E+00	3.3296E+07	1.0200E+00	2.2523E+00	-7.1300E+00	2.2523E+00	4.0000E-03	8.1000E+00	5.4050E+08	2.0000E-01	2.8478E-02	8.2600E+00	6.4276E+07	2.8000E-01	6.7867E-01	-7.9800E+00	6.7867E-01	-1.7914E+00	-8.6130E+02	-1.0000E+00	-1.0087E+00	-1.0000E+00	-1.4849E+02	-1.1168E+02	-1.2918E+03	-1.0000E+00	-7.6761E-01	-1.0000E+00
540	A1689	197.87092659	-1.35206099	99.992974	8.736679	7.374077	2.464381096E-17	6.013462572E-19	6.073831875E-19	1.50		-2.47093	0.47944	-0.47469	2.545968851	0.000136824874	-0.0001368331006	-1.0000E+00	-1.0000E+00	-1.0000E+00	2.2624E-30	9.4151E-32	2.0048E-30	7.9658E-32	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	2.3200E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	2.8199E+01	-8.7000E+00	-1.0000E+00	-1.0003E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-7.5305E-01	-1.0000E+00
632	A1689	197.86889535	-1.34981796	-135.170163	4.757648	3.971602	-1.00E-17	-1.00E-17	-1.00E-17	1.51		2.98707	1.00532	-1.12717	2.65	6.67E-04	-6.67E-04	1.7452E-18	-1.0000E+00	-1.0000E+00	2.7975E-30	1.3739E-31	2.3482E-30	1.0990E-31	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	2.5600E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-3.7033E+01	-8.7000E+00	-1.0000E+00	-1.4142E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-1.6870E+00	-1.0000E+00
664	A1689	197.85483326	-1.34847996	13.277713	5.650150	5.08275	2.981228672E-17	1.989978647E-18	1.794881296E-18	1.47		-1.9809	0.13785	-0.13259	1.678512222	0.001085985738	-0.001064267504	-1.0000E+00	-1.0000E+00	-1.0000E+00	3.6949E-30	1.6707E-31	3.4626E-30	1.4146E-31	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	1.7700E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	4.9571E+00	-8.7000E+00	-1.0000E+00	-1.0020E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-7.5791E-01	-1.0000E+00
680	A1689	197.88464535	-1.34731396	-197.474826	8.973387	7.656193	-1.00E-17	-1.00E-17	-1.00E-17	2.22	2.6525	-0.84866	0.49729	-0.49237	2.660867234	6.67E-04	-6.67E-04	3.5372E-18	2.6609E+00	4.7614E-05	4.2926E-30	1.8391E-31	2.8050E-30	1.3239E-31	9.9651E-17	1.1526E-17	3.8221E-16	7.2142E-17	-1.0000E+00	-1.0000E+00	7.5200E+00	-1.1200E+00	2.8496E-01	-9.7408E-01	5.7204E-02	4.0000E-03	7.5000E+00	2.4351E+08	1.6000E+00	1.0653E-01	7.1700E+00	4.2495E+06	-2.1000E-01	2.4913E-01	-7.3700E+00	2.4913E-01	4.0000E-03	9.1000E+00	6.5249E+08	4.0000E-01	2.8576E-02	7.2500E+00	4.6964E+06	-1.2300E+00	6.4257E-03	-8.4800E+00	6.4257E-03	-5.3942E+01	3.3252E-15	-1.0000E+00	-1.0177E+00	1.0637E-03	5.7326E-16	2.1221E-16	4.9874E-15	-1.0000E+00	-2.2507E+00	7.0923E-04
692	M0717	109.41283863	37.73274506	51.414056	3.406229	3.144211	2.894786242E-17	7.066371341E-19	7.354786848E-19	1.38		1.75066	0.2821	-0.28493	2.604277892	0.000193547307	-0.0001974549438	-1.0000E+00	-1.0000E+00	-1.0000E+00	1.1481E-30	5.4635E-32	8.0963E-31	6.6498E-32	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	2.8050E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	1.4265E+01	-8.7000E+00	-1.0000E+00	-1.0003E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-7.5293E-01	-1.0000E+00
729	A1689	197.891564541667	-1.34752726666667	-66.629881	0.454731	0.450228	-1.00E-17	-1.00E-17	-1.00E-17	1.22		-0.78216	0.02748	-0.02748	1.836	6.67E-04	-6.67E-04	4.3440E-18	-1.0000E+00	-1.0000E+00	1.6103E-29	5.1617E-31	1.3141E-29	4.1773E-31	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	2.5500E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-2.3494E+01	-8.7000E+00	-1.0000E+00	-1.4142E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-1.4332E+00	-1.0000E+00
744	M0717	109.36402237	37.73280612	272.785344	17.609986	15.616403	1.046711383E-16	1.182255402E-18	1.230510855E-18	1.15		-0.47205	0.85309	-0.8792	3.041835102	4.15E-05	-4.15E-05	-1.0000E+00	-1.0000E+00	-1.0000E+00	7.2122E-30	8.5341E-32	1.0231E-30	9.5248E-32	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	5.7600E-01	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	6.7490E+01	-8.7000E+00	-1.0000E+00	-1.0001E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-7.5226E-01	-1.0000E+00
760	A1689	197.85151275	-1.34714743611111	-106.204280	0.763557	0.733624	-1.00E-17	-1.00E-17	-1.00E-17	1.22		-1.55266	0.10436	-0.10228	2.05	6.67E-04	-6.67E-04	2.9159E-18	-1.0000E+00	-1.0000E+00	5.5613E-30	5.7733E-32	2.5136E-30	3.0363E-32	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	1.4400E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-1.0000E+00	-3.4821E+01	-8.7000E+00	-1.0000E+00	-1.4142E+00	-1.0000E+00	-1.4999E+00	-1.1281E+00	-1.3049E+01	-1.0000E+00	-1.4332E+00	-1.0000E+00
